sentiment,text
neg,"not only does the thoroughly formulaic film represent totally exemplify middle-of-the-road mainstream , it also represents glossy hollywood at its laziest ."
neg,"with virtually no interesting elements for an audience to focus on , chelsea walls is a triple-espresso endurance challenge ."
neg,"the overall feel of the film is pretty cheesy , but there's still a real sense that the star trek tradition has been honored as best it can , given the embarrassing script and weak direction ."
pos,plays out with a dogged and eventually winning squareness that would make it the darling of many a kids-and-family-oriented cable channel .
neg,animated drivel meant to enhance the self-image of drooling idiots .
neg,"when not obscured by the booming bass-heavy soundtrack , the conversation presents the kind of linguistic fumbling not heard since macy gray's game of chinese whispers with mr bean ."
pos,"a compelling , moving film that respects its audience and its source material ."
pos,once you get into its rhythm . . . the movie becomes a heady experience .
pos," . . . a spoof comedy that carries its share of laughs  sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh ."
neg,"that zhang would make such a strainingly cute film -- with a blind orphan at its center , no less -- indicates where his ambitions have wandered ."
pos,davis . . . gets vivid performances from her cast and pulls off some deft ally mcbeal-style fantasy sequences .
pos,"despite its old-hat set-up and predictable plot , empire still has enough moments to keep it entertaining ."
pos,"despite the long running time , the pace never feels slack -- there's no scene that screams "" bathroom break ! """
neg,one of those strained caper movies that's hardly any fun to watch and begins to vaporize from your memory minutes after it ends .
pos,excellent performances from jacqueline bisset and martha plimpton grace this deeply touching melodrama .
pos,a well-put-together piece of urban satire .
pos,"[russell] makes good b movies ( the mask , the blob ) , and the scorpion king more than ably meets those standards ."
pos,combine the paranoid claustrophobia of a submarine movie with the unsettling spookiness of the supernatural -- why didn't hollywood think of this sooner ?
neg,"narratively , trouble every day is a plodding mess ."
neg,this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs .
neg,the script has less spice than a rat burger and the rock's fighting skills are more in line with steven seagal .
pos,"further proof that the epicenter of cool , beautiful , thought-provoking foreign cinema is smack-dab in the middle of dubya's axis of evil ."
neg,does not go far enough in its humor or stock ideas to stand out as particularly memorable or even all that funny .
neg,the movie is virtually without context -- journalistic or historical . what's worse is that pelosi knows it .
neg,"when not wallowing in its characters' frustrations , the movie is busy contriving false , sitcom-worthy solutions to their problems ."
neg," . . . has about 3/4th the fun of its spry 2001 predecessor  but it's a rushed , slapdash , sequel-for-the-sake- of-a-sequel with less than half the plot and ingenuity ."
neg,"a big , loud , bang-the-drum bore ."
pos,"13 conversations may be a bit too enigmatic and overly ambitious to be fully successful , but sprecher and her screenwriting partner and sister , karen sprecher , don't seem ever to run out of ideas ."
neg,i got a headache watching this meaningless downer .
pos,"as a belated nod to some neglected all-stars , standing in the shadows of motown is cultural history of the best kind : informative , revealing and richly entertaining ."
pos,this sci-fi techno-sex thriller starts out bizarre and just keeps getting weirder .
neg,"for the most part , the ingredients are there . but an unwillingness to explore beyond the surfaces of her characters prevents nettelbeck's film from coming together ."
neg,topkapi this is not .
